Brand,Model_Name,Year_of_Launch,Purchase_Price_INR,Predicted_Current_Value_INR
OnePlus,OnePlus 10R,2018,123058,6566
OnePlus,OnePlus Nord,2024,79326,51104
Motorola,Moto E40,2022,118910,36722
Apple,iPhone 13,2022,50112,14168
Xiaomi,Redmi Note 11,2023,34104,14149
Motorola,Moto G71,2022,123699,37659
OnePlus,OnePlus Nord,2020,103972,14085
Xiaomi,Redmi Note 10,2020,71223,7147
Apple,iPhone 14,2019,106025,8408
Samsung,Galaxy A52,2019,14740,1358
Oppo,Oppo A53,2021,7933,-1207
Oppo,Oppo F21,2018,116313,5813
Oppo,Oppo F19,2020,116309,15585
Samsung,Galaxy S21,2018,67324,3361
OnePlus,OnePlus 10R,2022,50145,12348
OnePlus,OnePlus Nord,2022,82303,26252
Oppo,Oppo Reno 6,2024,100074,67951
Oppo,Oppo A53,2018,32673,1477
Oppo,Oppo F21,2019,103178,12270
Xiaomi,Redmi Note 11,2019,12674,-859
Motorola,Moto G71,2022,26426,7653
Realme,Realme 8,2019,51262,4892
Motorola,Moto G60,2023,48894,23648
Xiaomi,Mi 11X,2018,9429,3525
Samsung,Galaxy A52,2020,8570,-242
Motorola,Moto G60,2021,103828,19808
Motorola,Moto Edge 20,2022,83518,24129
Apple,iPhone 12,2022,51197,17815
Oppo,Oppo F21,2020,117326,17232
Oppo,Oppo A53,2021,24494,2971
Oppo,Oppo Reno 6,2021,45216,10009
Vivo,Vivo V20,2018,24272,252
Apple,iPhone 14,2022,100990,31192
Vivo,Vivo X60,2021,21824,5032
Vivo,Vivo V21,2021,19539,978
Realme,Realme 9,2021,109884,19801
Vivo,Vivo X60,2020,114466,13035
Xiaomi,Mi 11X,2020,76242,10933
Nokia,Nokia 6.2,2024,41092,28203
Oppo,Oppo A53,2023,120989,56924
OnePlus,OnePlus Nord,2020,33161,7311
Vivo,Vivo V20,2018,43850,2575
OnePlus,OnePlus 8,2023,80885,34639
Xiaomi,Mi 11X,2019,114780,7726
Realme,Realme Narzo 50,2024,91089,60437
Nokia,Nokia 5.4,2020,27240,2805
Apple,iPhone 14,2019,15049,242
