Brand,Model_Name,Year_of_Launch,Purchase_Price_INR,Predicted_Current_Value_INR
OnePlus,OnePlus 10R,2022,88004,28111
OnePlus,OnePlus 8,2018,105467,7853
Oppo,Oppo Reno 6,2023,69351,32978
Nokia,Nokia G20,2023,58872,24598
Motorola,Moto Edge 20,2019,20315,-818
Realme,Realme Narzo 50,2018,47673,1865
Vivo,Vivo V20,2023,41492,18704
Oppo,Oppo Reno 6,2023,83424,35008
Vivo,Vivo X60,2018,124491,6758
Realme,Realme 9,2020,75881,8546
Apple,iPhone 14,2019,76777,9544
Nokia,Nokia G20,2021,127853,23673
Apple,iPhone 14,2020,51480,7907
OnePlus,OnePlus 8,2022,73547,20395
Xiaomi,Redmi Note 10,2023,108771,46955
Realme,Realme 8,2019,23631,1056
Samsung,Galaxy A52,2021,110951,25391
Xiaomi,Redmi Note 11,2019,67939,6053
Realme,Realme 9,2021,51118,9669
Nokia,Nokia 7.2,2019,115461,8929
Realme,Realme GT,2018,64676,5066
Oppo,Oppo F19,2019,116705,13323
Realme,Realme Narzo 50,2021,100451,20032
Xiaomi,Mi 11X,2018,102891,8553
Realme,Realme Narzo 50,2023,108331,49973
Vivo,Vivo V20,2024,24692,18246
Xiaomi,Mi 10,2023,19511,5814
Realme,Realme GT,2020,97645,10310
Vivo,Vivo Y20,2022,42795,11754
Vivo,Vivo V21,2023,123023,52495
Nokia,Nokia 5.4,2019,8874,2226
Xiaomi,Redmi Note 10,2021,24296,4795
Samsung,Galaxy S21,2019,91682,9522
Motorola,Moto G71,2024,90247,60557
Xiaomi,Mi 11X,2023,64246,28651
Xiaomi,Redmi Note 11,2024,91578,61550
Vivo,Vivo V21,2022,102662,29698
Samsung,Galaxy S22,2024,23789,18810
Nokia,Nokia G20,2023,101218,48147
Vivo,Vivo V20,2019,47491,4292
Xiaomi,Redmi Note 11,2020,50279,3908
Vivo,Vivo V21,2023,116246,49395
Samsung,Galaxy S20,2020,56289,5049
Nokia,Nokia 7.2,2024,20573,12092
Realme,Realme 8,2023,26203,12009
Xiaomi,Redmi Note 10,2020,33952,3391
OnePlus,OnePlus 8,2021,109397,22606
Motorola,Moto E40,2019,88164,10293
Apple,iPhone 13,2020,9662,-1239
Oppo,Oppo F21,2019,69987,4612
Motorola,Moto G71,2022,123294,39452
Samsung,Galaxy A52,2021,117662,22118
Xiaomi,Redmi Note 10,2023,116660,54331
Apple,iPhone 13,2020,25795,4366
OnePlus,OnePlus 10R,2021,87600,20076
Oppo,Oppo F19,2022,40371,10512
Apple,iPhone 14,2021,80887,17869
Realme,Realme 8,2022,58297,19234
Realme,Realme 9,2023,113815,52420
Apple,iPhone 14,2022,66531,19689
Motorola,Moto Edge 20,2021,121113,23034
OnePlus,OnePlus Nord,2021,90799,19482
Motorola,Moto Edge 20,2018,128967,6367
Motorola,Moto Edge 20,2019,63612,8562
Nokia,Nokia 6.2,2019,108415,12233
Vivo,Vivo X60,2023,77360,32924
Xiaomi,Redmi Note 10,2022,93482,25850
OnePlus,OnePlus 8,2019,16421,-551
Xiaomi,Mi 11X,2024,96557,66175
Samsung,Galaxy A52,2020,16737,2593
Vivo,Vivo V21,2018,40768,3232
Xiaomi,Mi 11X,2021,11658,1697
Nokia,Nokia G20,2021,94405,19153
Motorola,Moto E40,2019,110775,10791
OnePlus,OnePlus Nord,2019,47643,1807
Samsung,Galaxy S20,2023,98096,42420
Apple,iPhone 14,2024,118678,81754
OnePlus,OnePlus 9,2020,32834,5316
Realme,Realme GT,2018,60362,6130
Oppo,Oppo F21,2023,21558,10538
Nokia,Nokia G20,2022,91413,26775
Vivo,Vivo Y20,2019,115671,8443
Nokia,Nokia 5.4,2024,98981,66671
OnePlus,OnePlus 10R,2020,53918,10122
Motorola,Moto G60,2018,56606,555
Oppo,Oppo A53,2022,36743,10173
Apple,iPhone 13,2023,124330,58549
Motorola,Moto G60,2021,54623,9718
Realme,Realme 9,2018,77738,6713
Oppo,Oppo A53,2024,128029,86772
Apple,iPhone 11,2018,115648,5431
OnePlus,OnePlus 10R,2020,36820,2935
Vivo,Vivo X60,2021,33445,7420
Motorola,Moto E40,2024,28975,21556
Realme,Realme Narzo 50,2020,124344,16168
Nokia,Nokia 6.2,2019,125661,11142
Nokia,Nokia 7.2,2024,38403,24494
Apple,iPhone 14,2022,49926,13455
Vivo,Vivo X60,2020,90532,11697
Realme,Realme 9,2021,73591,12544
OnePlus,OnePlus 8,2024,53236,34648
OnePlus,OnePlus 9,2021,63845,14670
Samsung,Galaxy S21,2020,104867,14401
OnePlus,OnePlus 8,2018,54439,3955
Oppo,Oppo F21,2023,49538,25196
Vivo,Vivo V20,2021,28140,5548
Apple,iPhone 12,2018,117145,6935
Xiaomi,Redmi Note 11,2019,74678,8489
Motorola,Moto E40,2018,16386,2136
OnePlus,OnePlus 8,2020,43020,7168
Xiaomi,Mi 11X,2022,128049,38248
Nokia,Nokia 5.4,2021,45025,7557
Apple,iPhone 11,2021,104411,22162
Samsung,Galaxy S21,2024,77993,52050
Realme,Realme Narzo 50,2023,19798,10797
Oppo,Oppo Reno 6,2018,25554,1447
Motorola,Moto G71,2023,9681,4534
Motorola,Moto G71,2020,112265,18210
Motorola,Moto G71,2024,64356,43704
Vivo,Vivo V20,2021,77485,15050
Oppo,Oppo Reno 6,2019,48831,5551
Apple,iPhone 14,2021,52620,10052
Xiaomi,Redmi Note 11,2018,54072,4468
Motorola,Moto G71,2022,88717,27990
Oppo,Oppo F19,2020,111432,14991
Motorola,Moto E40,2023,47230,23868
Samsung,Galaxy A52,2023,39004,16491
Xiaomi,Redmi Note 10,2018,97750,6409
Realme,Realme 8,2022,128400,41301
Samsung,Galaxy S22,2023,10860,3579
Samsung,Galaxy S22,2022,40229,13697
Apple,iPhone 11,2020,87768,9001
Realme,Realme GT,2022,60516,20072
Nokia,Nokia G20,2024,118375,81874
Vivo,Vivo V20,2018,105337,5380
Xiaomi,Mi 11X,2022,71624,21823
Motorola,Moto G60,2021,128074,25067
Motorola,Moto E40,2021,71971,11737
Motorola,Moto Edge 20,2022,127849,41149
Motorola,Moto G71,2022,114826,32524
Nokia,Nokia 5.4,2020,123304,15946
Vivo,Vivo Y20,2022,46715,13609
Apple,iPhone 13,2024,82312,56478
Oppo,Oppo F19,2022,75539,22307
Samsung,Galaxy S21,2023,120157,55796
Samsung,Galaxy S21,2020,112205,14070
Xiaomi,Redmi Note 10,2022,8620,-277
Realme,Realme 8,2020,100232,15457
Apple,iPhone 14,2024,112912,75327
Nokia,Nokia 7.2,2019,114697,8841
Samsung,Galaxy S22,2024,71851,45794
Vivo,Vivo X60,2021,70322,12132
Motorola,Moto E40,2024,9036,4147
Realme,Realme GT,2020,127459,16541
OnePlus,OnePlus 9,2024,53414,36300
Oppo,Oppo A53,2021,47905,10129
Vivo,Vivo Y20,2022,37759,9794
Apple,iPhone 11,2024,38741,26030
Samsung,Galaxy S21,2020,18593,3066
Nokia,Nokia 6.2,2021,102906,19714
Oppo,Oppo A53,2021,71629,17116
OnePlus,OnePlus 8,2019,71267,9128
Nokia,Nokia 5.4,2024,122006,83978
Vivo,Vivo V20,2021,30582,5535
Apple,iPhone 11,2019,65625,3187
Realme,Realme GT,2023,64354,27274
Samsung,Galaxy S22,2021,78963,17347
Motorola,Moto G60,2022,125520,37676
OnePlus,OnePlus 8,2023,69039,33926
Vivo,Vivo X60,2023,119983,54070
Xiaomi,Mi 10,2024,73162,48081
Nokia,Nokia 6.2,2020,11780,-1183
Oppo,Oppo A53,2022,13700,2986
Oppo,Oppo Reno 6,2023,63138,29308
Xiaomi,Redmi Note 11,2018,67902,6677
Realme,Realme GT,2019,11561,1680
Oppo,Oppo A53,2021,47364,12343
Xiaomi,Redmi Note 10,2024,82557,53628
Samsung,Galaxy S22,2019,82820,6361
Apple,iPhone 12,2021,32086,5539
Xiaomi,Redmi Note 11,2022,127579,39705
Vivo,Vivo V20,2024,76591,52985
OnePlus,OnePlus Nord,2018,68074,2271
Xiaomi,Mi 11X,2022,23950,7224
Realme,Realme GT,2020,113029,13634
Xiaomi,Mi 10,2022,127989,38466
Apple,iPhone 13,2019,104499,7178
Oppo,Oppo F19,2021,23409,7517
Apple,iPhone 11,2019,39703,3237
Oppo,Oppo A53,2022,68819,22241
Motorola,Moto G60,2023,121311,52939
OnePlus,OnePlus Nord,2019,95209,11547
OnePlus,OnePlus 10R,2023,15433,9096
Vivo,Vivo X60,2018,16269,1209
Samsung,Galaxy A52,2018,99265,3963
Realme,Realme 8,2021,124607,27337
Realme,Realme 9,2019,54966,7328
Apple,iPhone 11,2019,77312,4243
Apple,iPhone 11,2021,51611,13092
Nokia,Nokia 7.2,2018,116244,6028
Samsung,Galaxy A52,2019,17169,373
Oppo,Oppo A53,2023,47483,23208
Motorola,Moto G60,2022,65285,17037
OnePlus,OnePlus Nord,2023,127673,57480
Realme,Realme Narzo 50,2024,89178,57339
Samsung,Galaxy S22,2020,61831,8081
Nokia,Nokia 7.2,2018,45316,-191
Apple,iPhone 11,2023,119328,54342
Motorola,Moto Edge 20,2018,17091,-222
Oppo,Oppo Reno 6,2020,118049,13515
Samsung,Galaxy A52,2019,49090,4625
Vivo,Vivo X60,2022,40173,12455
Motorola,Moto Edge 20,2018,66602,6447
Xiaomi,Redmi Note 10,2020,17743,2802
OnePlus,OnePlus 8,2018,124651,8043
Motorola,Moto Edge 20,2023,107296,47392
Motorola,Moto Edge 20,2023,114586,54250
Samsung,Galaxy S22,2024,19704,10397
Nokia,Nokia G20,2020,62885,8389
Samsung,Galaxy S20,2019,47961,1960
Nokia,Nokia 5.4,2021,106710,21928
Motorola,Moto G60,2021,89394,18384
Realme,Realme Narzo 50,2021,7460,688
Xiaomi,Mi 11X,2024,16670,12742
Xiaomi,Redmi Note 10,2018,114058,6642
Apple,iPhone 12,2022,26249,7780
Realme,Realme 8,2018,125959,5560
Xiaomi,Mi 11X,2018,44444,4441
Oppo,Oppo A53,2023,85397,40083
Vivo,Vivo X60,2022,79264,22262
Apple,iPhone 12,2023,12505,5870
OnePlus,OnePlus 8,2019,26498,4487
Nokia,Nokia 7.2,2023,58174,27212
OnePlus,OnePlus 9,2022,65085,16711
Apple,iPhone 13,2022,129211,36614
Nokia,Nokia G20,2018,99814,7927
Apple,iPhone 14,2019,87086,10598
OnePlus,OnePlus 8,2020,76461,12287
OnePlus,OnePlus 9,2021,63646,12181
Oppo,Oppo F21,2022,103238,30030
OnePlus,OnePlus 8,2023,59965,27582
Samsung,Galaxy S21,2022,72281,22872
Oppo,Oppo A53,2020,10855,30
Motorola,Moto G71,2020,21404,1459
Vivo,Vivo V21,2023,109944,49702
Nokia,Nokia G20,2024,10451,6804
Xiaomi,Mi 10,2022,102392,29228
Oppo,Oppo F21,2023,19583,7697
Vivo,Vivo X60,2023,76043,36443
Realme,Realme 9,2020,125197,16731
Motorola,Moto Edge 20,2022,77380,24801
Xiaomi,Redmi Note 11,2023,119940,51232
Oppo,Oppo F21,2018,118555,4608
OnePlus,OnePlus 8,2018,16078,2638
Apple,iPhone 13,2023,7469,5503
Nokia,Nokia 7.2,2021,109678,24554
Oppo,Oppo F21,2020,27696,3615
Samsung,Galaxy S20,2018,103326,6271
Xiaomi,Mi 11X,2020,91824,11241
Motorola,Moto G60,2019,108118,11241
Samsung,Galaxy S20,2022,41614,14506
Realme,Realme GT,2018,64395,3468
Apple,iPhone 11,2020,68440,7834
OnePlus,OnePlus 9,2022,43548,13001
Realme,Realme 8,2018,48499,2507
Nokia,Nokia G20,2021,36939,9890
Realme,Realme 8,2023,86421,39001
Motorola,Moto E40,2019,29840,5439
Vivo,Vivo V20,2019,31790,4819
Samsung,Galaxy S20,2019,120846,11732
Motorola,Moto Edge 20,2022,41978,12267
OnePlus,OnePlus 8,2019,128550,14029
Xiaomi,Redmi Note 10,2023,56461,26604
Vivo,Vivo V20,2018,110169,4216
Vivo,Vivo V21,2018,97413,7555
Oppo,Oppo F21,2023,18553,6768
Apple,iPhone 12,2022,16855,4110
Motorola,Moto E40,2019,57612,6298
Realme,Realme 9,2021,37330,7751
Vivo,Vivo V21,2023,95452,45460
Xiaomi,Mi 11X,2018,39888,4652
Apple,iPhone 11,2020,38086,6591
Motorola,Moto E40,2021,88761,16350
Realme,Realme 8,2019,60138,2882
OnePlus,OnePlus 8,2018,96409,8037
OnePlus,OnePlus 8,2024,36105,21801
OnePlus,OnePlus 9,2021,37696,8806
Apple,iPhone 11,2019,38983,6217
Realme,Realme Narzo 50,2024,92253,61187
Vivo,Vivo V20,2018,118100,5513
OnePlus,OnePlus 8,2024,62735,43703
OnePlus,OnePlus 9,2021,102449,23523
Nokia,Nokia 6.2,2022,111795,31457
Apple,iPhone 13,2018,67663,5438
Vivo,Vivo V21,2023,91067,40873
Apple,iPhone 11,2020,68062,9924
OnePlus,OnePlus 9,2021,20510,6360
Nokia,Nokia G20,2024,24881,16197
Xiaomi,Mi 10,2018,113582,5867
OnePlus,OnePlus 10R,2022,106545,34659
Xiaomi,Redmi Note 11,2018,56247,3398
Realme,Realme Narzo 50,2023,8282,1078
OnePlus,OnePlus 8,2024,16554,11581
Xiaomi,Mi 10,2023,109920,47380
Vivo,Vivo V20,2020,50449,5683
Nokia,Nokia 7.2,2024,87979,59425
Vivo,Vivo Y20,2020,123695,15357
Oppo,Oppo F21,2024,28640,19697
Xiaomi,Redmi Note 10,2018,111759,9817
Realme,Realme GT,2020,73390,9023
Samsung,Galaxy A52,2019,55857,7966
Samsung,Galaxy S20,2021,14440,838
Nokia,Nokia 5.4,2018,38426,1873
Samsung,Galaxy A52,2018,71098,1582
Oppo,Oppo A53,2018,36481,1456
Samsung,Galaxy S20,2022,112496,33342
Apple,iPhone 13,2018,22080,367
Nokia,Nokia 7.2,2022,76804,20594
Realme,Realme Narzo 50,2018,29667,198
Oppo,Oppo A53,2022,64999,21979
Realme,Realme 9,2020,85590,8854
Vivo,Vivo X60,2023,47975,23224
Xiaomi,Redmi Note 11,2022,115413,36658
OnePlus,OnePlus 8,2019,114919,7918
Motorola,Moto Edge 20,2022,78902,24460
Motorola,Moto G71,2019,82331,7651
Vivo,Vivo X60,2020,55141,10058
Realme,Realme 8,2022,124011,35804
Xiaomi,Redmi Note 11,2020,32513,1490
Xiaomi,Mi 10,2024,24240,16324
Vivo,Vivo Y20,2024,7411,6834
Nokia,Nokia 6.2,2018,108970,7804
OnePlus,OnePlus 10R,2021,84896,18265
Apple,iPhone 11,2021,109696,20394
Vivo,Vivo Y20,2019,18528,186
Samsung,Galaxy S22,2019,12056,-805
Motorola,Moto Edge 20,2020,123447,19006
Motorola,Moto G60,2021,37957,8863
Vivo,Vivo X60,2020,54233,4798
Nokia,Nokia 6.2,2019,53630,4386
OnePlus,OnePlus 8,2018,31686,864
Samsung,Galaxy S21,2022,97713,29218
Apple,iPhone 11,2023,75727,32450
Apple,iPhone 12,2021,88173,17518
Xiaomi,Redmi Note 10,2023,118427,52242
Vivo,Vivo V20,2023,20585,8823
Samsung,Galaxy A52,2018,21134,2392
Motorola,Moto G71,2018,16458,1856
Samsung,Galaxy A52,2022,80834,22540
Nokia,Nokia G20,2020,22370,3271
Realme,Realme Narzo 50,2023,104757,48039
Oppo,Oppo A53,2021,18934,5027
Samsung,Galaxy S22,2018,128078,9533
Oppo,Oppo Reno 6,2022,44897,11905
Apple,iPhone 13,2024,56017,38906
Nokia,Nokia 6.2,2020,101072,15769
Xiaomi,Mi 10,2020,107811,16102
Apple,iPhone 14,2018,90912,5468
Nokia,Nokia 7.2,2018,10859,-2280
Xiaomi,Redmi Note 11,2022,51585,17524
Xiaomi,Redmi Note 11,2019,19545,-304
Samsung,Galaxy A52,2022,29204,6819
Vivo,Vivo Y20,2018,51255,1031
Realme,Realme Narzo 50,2023,34705,15777
Realme,Realme GT,2023,59234,28944
Apple,iPhone 13,2022,117496,33239
Motorola,Moto G60,2020,69822,7816
Xiaomi,Redmi Note 10,2020,27773,4069
OnePlus,OnePlus 10R,2018,69647,2419
Xiaomi,Redmi Note 10,2019,53663,3982
Motorola,Moto G60,2022,118275,33893
Nokia,Nokia 6.2,2019,122037,8639
OnePlus,OnePlus 10R,2023,114175,51045
Apple,iPhone 14,2018,100351,7570
Nokia,Nokia 7.2,2024,121201,79442
Vivo,Vivo Y20,2022,97920,32261
Xiaomi,Mi 11X,2019,38981,2550
Oppo,Oppo A53,2023,128684,59514
Nokia,Nokia G20,2018,126088,5755
Nokia,Nokia 6.2,2018,17751,1794
Vivo,Vivo X60,2020,94803,13773
Motorola,Moto G71,2018,14779,-1025
Oppo,Oppo A53,2021,75458,18236
Samsung,Galaxy S21,2024,19317,15582
Realme,Realme 9,2018,89906,4263
Realme,Realme 8,2022,85340,24165
Apple,iPhone 13,2018,30939,460
Oppo,Oppo F19,2021,119776,22221
Realme,Realme GT,2022,85087,28572
Vivo,Vivo V21,2023,51178,20236
Nokia,Nokia 7.2,2023,28217,12745
Samsung,Galaxy S20,2019,120314,8723
Oppo,Oppo F21,2022,19493,6555
Xiaomi,Redmi Note 10,2019,49901,2501
Realme,Realme 9,2023,25173,8956
Realme,Realme Narzo 50,2021,62011,12701
Motorola,Moto Edge 20,2022,56930,15387
Samsung,Galaxy S21,2018,91636,6399
Motorola,Moto G60,2018,113395,4013
Vivo,Vivo Y20,2022,61098,19422
Motorola,Moto Edge 20,2022,40287,15149
Nokia,Nokia 6.2,2022,18190,5666
Vivo,Vivo X60,2024,110488,75258
OnePlus,OnePlus Nord,2022,123674,37609
Realme,Realme GT,2024,93508,64961
Nokia,Nokia G20,2023,22548,12772
Oppo,Oppo F19,2019,74524,7128
Realme,Realme GT,2022,82120,24702
Nokia,Nokia 7.2,2022,32438,10626
Motorola,Moto G71,2023,59377,24265
Realme,Realme 8,2023,83916,38470
Xiaomi,Mi 10,2021,68097,15098
Vivo,Vivo V21,2024,74091,51706
Apple,iPhone 12,2024,47398,30577
Oppo,Oppo F19,2019,99782,8630
OnePlus,OnePlus 9,2023,128866,56600
Realme,Realme GT,2022,75991,20081
Motorola,Moto G71,2019,120216,10959
Apple,iPhone 13,2019,64435,5258
Nokia,Nokia 6.2,2021,42307,5579
Realme,Realme Narzo 50,2019,8745,1889
Xiaomi,Mi 10,2023,7140,2343
Xiaomi,Mi 10,2022,72583,20506
OnePlus,OnePlus 10R,2019,73810,5914
Xiaomi,Redmi Note 10,2018,122526,5274
Xiaomi,Mi 10,2024,63532,43372
OnePlus,OnePlus Nord,2022,119006,36899
Nokia,Nokia 5.4,2023,68112,32628
Samsung,Galaxy S22,2024,37662,25947
Nokia,Nokia 5.4,2024,62929,41125
Vivo,Vivo X60,2024,62982,41742
Xiaomi,Redmi Note 10,2020,12360,535
Realme,Realme 8,2022,66585,22924
Nokia,Nokia 5.4,2018,75459,1864
Apple,iPhone 14,2021,32885,8629
OnePlus,OnePlus 10R,2024,43050,30861
Nokia,Nokia 6.2,2023,95206,44868
Realme,Realme 8,2021,34572,9190
Nokia,Nokia 6.2,2020,88619,11918
Motorola,Moto G71,2023,18107,10050
Vivo,Vivo V20,2019,28208,4253
Realme,Realme 8,2019,39244,4756
Samsung,Galaxy S20,2022,25362,5235
Oppo,Oppo F19,2021,31960,5216
OnePlus,OnePlus Nord,2020,78514,13118
Xiaomi,Redmi Note 10,2022,125387,36345
OnePlus,OnePlus 10R,2018,23571,-117
Oppo,Oppo Reno 6,2019,41817,5732
Oppo,Oppo Reno 6,2024,82923,53208
Realme,Realme 8,2021,57346,13855
Apple,iPhone 11,2022,110714,31564
Motorola,Moto E40,2020,102393,11032
OnePlus,OnePlus 10R,2023,74027,32625
Nokia,Nokia G20,2022,107776,29645
Apple,iPhone 14,2022,58649,18632
Oppo,Oppo F21,2018,79390,3758
OnePlus,OnePlus 9,2023,54224,26132
OnePlus,OnePlus Nord,2024,56497,35845
Apple,iPhone 12,2022,12712,963
Nokia,Nokia 6.2,2024,26824,20459
Realme,Realme 8,2022,56238,18081
Oppo,Oppo F21,2021,121629,24568
Oppo,Oppo F21,2021,75775,14162
OnePlus,OnePlus Nord,2022,64326,21628
Motorola,Moto E40,2022,23167,4884
Oppo,Oppo A53,2020,96271,11940
Nokia,Nokia 6.2,2024,75757,51696
Motorola,Moto Edge 20,2022,68542,19173
Samsung,Galaxy S20,2023,103787,47877
Realme,Realme Narzo 50,2019,90685,5917
OnePlus,OnePlus 8,2020,66508,7588
Motorola,Moto G60,2020,51215,9130
Apple,iPhone 12,2023,74303,31192
Vivo,Vivo X60,2019,80387,10288
Motorola,Moto G71,2024,100904,66228
OnePlus,OnePlus 10R,2022,128219,40937
Xiaomi,Mi 11X,2019,114859,11606
Nokia,Nokia 7.2,2022,45983,10987
OnePlus,OnePlus Nord,2020,76198,11122
Xiaomi,Mi 11X,2022,60558,17667
Samsung,Galaxy S21,2023,72380,34517
Nokia,Nokia G20,2019,21659,827
Realme,Realme 8,2023,98253,44615
Nokia,Nokia 7.2,2023,97299,41880
Apple,iPhone 14,2023,42798,20125
Samsung,Galaxy S20,2023,53694,25726
Apple,iPhone 12,2022,46007,16382
Apple,iPhone 13,2022,7500,2819
Xiaomi,Redmi Note 10,2024,20447,12292
Motorola,Moto G60,2024,102491,67664
Apple,iPhone 13,2024,74040,52547
Xiaomi,Mi 10,2024,116673,80291
OnePlus,OnePlus 8,2018,31567,207
Realme,Realme GT,2024,7275,6371
OnePlus,OnePlus Nord,2021,16456,5931
Realme,Realme Narzo 50,2020,46309,5593
Apple,iPhone 13,2020,38064,4807
Realme,Realme 8,2024,120099,81504
Xiaomi,Redmi Note 11,2024,102250,65687
Realme,Realme 8,2024,34670,20587
Vivo,Vivo X60,2021,27916,5368
Oppo,Oppo F21,2018,8288,-1550
Motorola,Moto G71,2024,15704,9183
Nokia,Nokia 7.2,2019,22096,3999
Vivo,Vivo V21,2024,40717,27356
Samsung,Galaxy A52,2024,30235,18612
Xiaomi,Redmi Note 10,2018,77958,3891
OnePlus,OnePlus 10R,2019,22466,2469
Realme,Realme 9,2024,113394,78375
Realme,Realme 8,2018,34951,516
Xiaomi,Redmi Note 10,2022,16779,4495
Apple,iPhone 12,2024,109916,73250
Oppo,Oppo A53,2018,72782,2028
Xiaomi,Redmi Note 11,2019,78910,8823
Apple,iPhone 12,2023,67699,28159
Apple,iPhone 11,2021,51813,12175
OnePlus,OnePlus 8,2019,91304,10308
Samsung,Galaxy S21,2021,111049,19834
Oppo,Oppo F19,2018,36596,384
Nokia,Nokia G20,2019,107930,8880
Oppo,Oppo F21,2019,66625,4153
Xiaomi,Mi 11X,2018,17363,3930
Nokia,Nokia 5.4,2024,99656,67860
Xiaomi,Redmi Note 10,2019,119752,13559
Nokia,Nokia 5.4,2021,13363,5266
Oppo,Oppo F19,2019,114983,12841
